"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"604,""295.803051443"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  38087 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985818968 TSecr=262856755 [TCP segment of a reassembled PDU]"""
"605,""295.803055922"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"606,""295.807192623"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38087  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262857886 TSecr=985818968"""
"607,""295.809822195"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38087  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262857889 TSecr=985818968"""
"608,""295.809891622"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38087  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262857889 TSecr=985818968"""
"609,""295.852252271"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"610,""295.852307219"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  38087 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985819017 TSecr=262857931"""
"611,""298.133843201"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"612,""298.137224957"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38087  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262860217 TSecr=985821298"""
"613,""298.138482451"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"614,""298.138530628"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  38087 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985821303 TSecr=262860219"""
"615,""300.437616998"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"616,""300.439180324"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"617,""300.439601312"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  38087 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985823604 TSecr=262860219"""
"618,""300.445345245"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38087  >  8883 [RST, ACK] Seq=1868 Ack=3361 Win=64128 Len=0 TSval=262862524 TSecr=985823602"""
"619,""300.445515401"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""38087  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"620,""302.450009452"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""34525  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262864529 TSecr=0 WS=128"""
"621,""302.450158931"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  34525 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985825615 TSecr=262864529 WS=128"""
"622,""302.453397354"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""34525  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262864533 TSecr=985825615"""
"623,""302.459898889"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"624,""302.460023159"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  34525 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985825625 TSecr=262864539"""
"625,""303.581584378"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  34525 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985826746 TSecr=262864539 [TCP segment of a reassembled PDU]"""
"626,""303.581625992"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  34525 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985826746 TSecr=262864539 [TCP segment of a reassembled PDU]"""
"627,""303.581630263"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"628,""303.586293785"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""34525  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262865665 TSecr=985826746"""
"629,""303.588756743"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""34525  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262865668 TSecr=985826746"""
"630,""303.588824399"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""34525  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262865668 TSecr=985826746"""
"631,""303.631521974"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"632,""303.631575046"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  34525 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985826796 TSecr=262865710"""
"633,""305.938904546"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"634,""305.943027809"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""34525  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262868023 TSecr=985829104"""
"635,""305.945028478"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"636,""305.945090509"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  34525 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985829110 TSecr=262868025"""
"637,""308.611312401"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"638,""308.614148014"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"639,""308.614917594"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  34525 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985831780 TSecr=262868025"""
"640,""308.650930354"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""[TCP Retransmission] 8883  >  34525 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985831816 TSecr=262868025"""
"641,""308.755751252"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""34525  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262870717 TSecr=985831776"""
"642,""308.759664828"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""34525  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"643,""309.101304644"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""45797  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356929324 TSecr=0 WS=128"""
"644,""309.101531570"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  45797 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852450068 TSecr=1356929324 WS=128"""
"645,""309.104115413"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""45797  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356929332 TSecr=2852450068"""
"646,""309.110082106"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"647,""309.110228199"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  45797 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852450077 TSecr=1356929338"""
"648,""310.215025370"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  45797 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852451182 TSecr=1356929338 [TCP segment of a reassembled PDU]"""
"649,""310.215066255"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  45797 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852451182 TSecr=1356929338 [TCP segment of a reassembled PDU]"""
"650,""310.215070578"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"651,""310.220059932"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""45797  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356930446 TSecr=2852451182"""
"652,""310.220944772"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""45797  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356930449 TSecr=2852451182"""
"653,""310.221031802"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""45797  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356930449 TSecr=2852451182"""
"654,""310.259798352"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"655,""310.259888508"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  45797 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852451227 TSecr=1356930488"""
"656,""312.583798652"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"657,""312.585844112"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""45797  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356932814 TSecr=2852453550"""
"658,""312.586871503"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"659,""312.586922336"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  45797 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852453554 TSecr=1356932815"""
"660,""312.650082947"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""38991  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262874724 TSecr=0 WS=128"""
"661,""312.650185759"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  38991 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985835815 TSecr=262874724 WS=128"""
"662,""312.653490692"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38991  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262874733 TSecr=985835815"""
"663,""312.660013008"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"664,""312.660105664"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  38991 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985835825 TSecr=262874739"""
"665,""313.786116958"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  38991 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985836951 TSecr=262874739 [TCP segment of a reassembled PDU]"""
"666,""313.786161437"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  38991 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985836951 TSecr=262874739 [TCP segment of a reassembled PDU]"""
"667,""313.786165864"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"668,""313.791599799"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38991  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262875871 TSecr=985836951"""
"669,""313.794196506"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38991  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262875874 TSecr=985836951"""
"670,""313.794266193"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38991  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262875874 TSecr=985836951"""
"671,""313.836406843"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"672,""313.836482311"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  38991 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985837001 TSecr=262875915"""
"673,""314.998969696"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"674,""315.000230732"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"675,""315.000576876"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  45797 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852455967 TSecr=1356932815"""
"676,""315.005020607"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""45797  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356935233 TSecr=2852455966"""
"677,""316.476910600"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"678,""316.482731981"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38991  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262878562 TSecr=985839642"""
"679,""316.485773739"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"680,""316.485840666"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  38991 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985839650 TSecr=262878564"""
"681,""318.873360937"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"682,""318.875623948"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"683,""318.876268997"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  38991 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985842041 TSecr=262878564"""
"684,""318.910903169"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""[TCP Retransmission] 8883  >  38991 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985842076 TSecr=262878564"""
"685,""318.979430839"",""192.168.68.104"",""192.168.68.114"",""TCP"",""78"",""38991  >  8883 [ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262881058 TSecr=985842038 SLE=3361 SRE=3362"""
"686,""318.983674049"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""38991  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262881061 TSecr=985842038"""
"687,""327.067047845"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""52291  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262889074 TSecr=0 WS=128"""
"688,""327.067198365"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  52291 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985850232 TSecr=262889074 WS=128"""
"689,""327.072220009"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""52291  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262889151 TSecr=985850232"""
"690,""327.077907433"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"691,""327.078045192"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  52291 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985850243 TSecr=262889157"""
"692,""328.192903241"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  52291 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985851358 TSecr=262889157 [TCP segment of a reassembled PDU]"""
"693,""328.192944803"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  52291 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985851358 TSecr=262889157 [TCP segment of a reassembled PDU]"""
"694,""328.192948970"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"695,""328.197434835"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""52291  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262890276 TSecr=985851358"""
"696,""328.199991647"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""52291  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262890279 TSecr=985851358"""
"697,""328.200057845"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""52291  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262890279 TSecr=985851358"""
"698,""328.242199067"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"699,""328.242257869"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  52291 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985851407 TSecr=262890321"""
"700,""330.560369201"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"701,""330.567721409"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""52291  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262892647 TSecr=985853725"""
"702,""330.569779316"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"703,""330.569829420"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  52291 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985853734 TSecr=262892649"""
"704,""332.806318553"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"705,""332.807479121"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"706,""332.807834328"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  52291 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985855972 TSecr=262892649"""
"707,""332.812351652"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""52291  >  8883 [FIN, ACK] Seq=1868 Ack=3330 Win=64128 Len=0 TSval=262894892 TSecr=985855971"""
"708,""332.812453370"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  52291 [ACK] Seq=3362 Ack=1869 Win=64128 Len=0 TSval=985855977 TSecr=262894892"""
"709,""332.818497250"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""52291  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"710,""332.819680942"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""52291  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"711,""332.819752244"",""192.168.68.104"",""192.168.68.114"",""TCP"",""54"",""52291  >  8883 [RST] Seq=1869 Win=0 Len=0"""
"712,""347.010694979"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""34025  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356967236 TSecr=0 WS=128"""
"713,""347.010912530"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  34025 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852487978 TSecr=1356967236 WS=128"""
"714,""347.015258552"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""34025  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356967244 TSecr=2852487978"""
"715,""347.021978627"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"716,""347.022134980"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  34025 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852487989 TSecr=1356967249"""
"717,""348.144964955"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  34025 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852489112 TSecr=1356967249 [TCP segment of a reassembled PDU]"""
"718,""348.145015007"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  34025 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852489112 TSecr=1356967249 [TCP segment of a reassembled PDU]"""
"719,""348.145019903"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"720,""348.151095553"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""34025  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356968378 TSecr=2852489112"""
"721,""348.152267319"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""34025  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356968381 TSecr=2852489112"""
"722,""348.153578876"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""34025  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356968381 TSecr=2852489112"""
"723,""348.190910900"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"724,""348.190966785"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  34025 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852489158 TSecr=1356968419"""
"725,""348.835998072"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""[TCP Port numbers reused] 41199  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262910910 TSecr=0 WS=128"""
"726,""348.836138957"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  41199 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985872001 TSecr=262910910 WS=128"""
"727,""348.840967321"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41199  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262910920 TSecr=985872001"""
"728,""348.846559067"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"729,""348.846659275"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41199 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985872011 TSecr=262910926"""
"730,""349.909399199"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  41199 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985873074 TSecr=262910926 [TCP segment of a reassembled PDU]"""
"731,""349.909441907"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  41199 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985873074 TSecr=262910926 [TCP segment of a reassembled PDU]"""
"732,""349.909446074"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"733,""349.915486933"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41199  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262911994 TSecr=985873074"""
"734,""349.917305935"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41199  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262911997 TSecr=985873074"""
"735,""349.917377341"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41199  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262911997 TSecr=985873074"""
"736,""349.959696427"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"737,""349.959788926"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41199 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985873124 TSecr=262912039"""
"738,""350.521037819"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"739,""350.523911557"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""34025  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356970752 TSecr=2852491488"""
"740,""350.525968058"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"741,""350.526025350"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  34025 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852491493 TSecr=1356970754"""
"742,""352.383302360"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"743,""352.387940413"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41199  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262914467 TSecr=985875548"""
"744,""352.389178428"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"745,""352.389295928"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41199 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985875554 TSecr=262914469"""
"746,""352.894003036"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"747,""352.895326729"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"748,""352.895721466"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  34025 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852493862 TSecr=1356970754"""
"749,""352.940906633"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""[TCP Retransmission] 8883  >  34025 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852493908 TSecr=1356970754"""
"750,""352.974861692"",""192.168.68.106"",""192.168.68.114"",""TCP"",""78"",""34025  >  8883 [ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356973202 TSecr=2852493861 SLE=3361 SRE=3362"""
"751,""352.977886210"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""34025  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356973204 TSecr=2852493861"""
"752,""354.833159632"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"753,""354.834363533"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"754,""354.834814156"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41199 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985877999 TSecr=262914469"""
"755,""354.839776999"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41199  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262916919 TSecr=985877998"""
